Index,GPS time,CoG,Lat,Lon,VX,VY,VZ
103,2330:340438.670,262.06,29.18853467,-81.04548000,-0.01,0.01,0.00
104,2330:340438.813,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
105,2330:340438.956,262.06,29.18853467,-81.04548000,0.00,0.00,-0.00
106,2330:340439.099,262.06,29.18853467,-81.04548000,-0.01,0.00,-0.00
107,2330:340439.242,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
108,2330:340439.385,262.06,29.18853467,-81.04548000,-0.01,-0.00,0.01
109,2330:340439.528,262.06,29.18853467,-81.04548017,0.01,-0.01,0.01
110,2330:340439.671,262.06,29.18853467,-81.04548017,-0.00,-0.01,0.00
111,2330:340439.814,262.06,29.18853467,-81.04548017,-0.01,-0.01,-0.00
112,2330:340439.957,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
113,2330:340440.100,262.06,29.18853467,-81.04548017,-0.00,0.01,0.00
114,2330:340440.243,262.06,29.18853467,-81.04548017,0.00,0.00,-0.01
115,2330:340440.386,262.06,29.18853467,-81.04548000,0.01,-0.00,0.01
116,2330:340440.529,262.06,29.18853467,-81.04548017,-0.02,0.00,-0.00
117,2330:340440.672,262.06,29.18853467,-81.04548000,0.00,0.00,-0.00
118,2330:340440.815,262.06,29.18853467,-81.04548017,-0.01,0.00,0.00
119,2330:340440.958,262.06,29.18853467,-81.04548017,0.01,0.00,-0.00
120,2330:340441.101,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
121,2330:340441.244,262.06,29.18853467,-81.04548017,-0.00,-0.00,-0.01
122,2330:340441.387,262.06,29.18853467,-81.04548017,0.00,-0.01,0.01
123,2330:340441.530,262.06,29.18853467,-81.04548017,-0.00,-0.00,0.00
124,2330:340441.673,262.06,29.18853467,-81.04548017,0.00,-0.01,0.00
125,2330:340441.816,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
126,2330:340441.959,262.06,29.18853467,-81.04548000,-0.01,-0.01,-0.00
127,2330:340442.102,262.06,29.18853467,-81.04548017,0.00,0.00,-0.00
128,2330:340442.245,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.00
129,2330:340442.388,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
130,2330:340442.531,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.00
131,2330:340442.674,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
132,2330:340442.817,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
133,2330:340442.960,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
134,2330:340443.103,262.06,29.18853467,-81.04548000,-0.00,0.01,-0.01
135,2330:340443.246,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
136,2330:340443.389,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
137,2330:340443.532,262.06,29.18853467,-81.04548000,0.01,-0.00,-0.01
138,2330:340443.675,262.06,29.18853467,-81.04548000,-0.00,0.01,0.00
139,2330:340443.818,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
140,2330:340443.961,262.06,29.18853467,-81.04548000,-0.01,0.01,-0.00
141,2330:340444.104,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
142,2330:340444.247,262.06,29.18853467,-81.04548000,-0.00,0.01,0.00
143,2330:340444.390,262.06,29.18853467,-81.04548000,0.00,-0.01,-0.00
144,2330:340444.533,262.06,29.18853467,-81.04548000,0.01,-0.00,0.01
145,2330:340444.676,262.06,29.18853467,-81.04548000,-0.00,-0.01,0.00
146,2330:340444.819,262.06,29.18853467,-81.04548000,0.00,-0.01,-0.00
147,2330:340444.962,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
148,2330:340445.105,262.06,29.18853467,-81.04548000,-0.00,-0.01,-0.00
149,2330:340445.248,262.06,29.18853467,-81.04548000,0.00,0.01,0.01
150,2330:340445.391,262.06,29.18853467,-81.04548000,0.01,-0.01,-0.00
151,2330:340445.534,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
152,2330:340445.677,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
153,2330:340445.820,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
154,2330:340445.963,262.06,29.18853467,-81.04548000,0.01,-0.00,-0.00
155,2330:340446.106,262.06,29.18853467,-81.04548000,-0.00,0.00,0.01
156,2330:340446.249,262.06,29.18853467,-81.04548000,0.00,0.00,-0.01
157,2330:340446.392,262.06,29.18853467,-81.04548000,-0.00,-0.00,0.01
158,2330:340446.535,262.06,29.18853467,-81.04548000,0.01,-0.00,-0.00
159,2330:340446.678,262.06,29.18853467,-81.04548000,-0.00,0.01,0.00
160,2330:340446.821,262.06,29.18853467,-81.04548000,0.01,0.00,-0.00
161,2330:340446.964,262.06,29.18853467,-81.04548000,-0.01,0.01,0.00
162,2330:340447.107,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
163,2330:340447.250,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
164,2330:340447.393,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.00
165,2330:340447.536,262.06,29.18853467,-81.04548000,0.01,0.02,0.01
166,2330:340447.679,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
167,2330:340447.822,262.06,29.18853467,-81.04548000,0.00,0.00,-0.00
168,2330:340447.965,262.06,29.18853467,-81.04548000,0.01,0.02,0.00
169,2330:340448.108,262.06,29.18853467,-81.04548000,-0.00,0.01,-0.01
170,2330:340448.251,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
171,2330:340448.394,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
172,2330:340448.537,262.06,29.18853467,-81.04548000,0.01,-0.01,0.01
173,2330:340448.680,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
174,2330:340448.823,262.06,29.18853467,-81.04548000,-0.00,0.01,-0.00
175,2330:340448.966,262.06,29.18853467,-81.04548000,-0.00,-0.00,0.01
176,2330:340449.109,262.06,29.18853467,-81.04548000,0.01,0.00,0.01
177,2330:340449.252,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
178,2330:340449.395,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
179,2330:340449.538,262.06,29.18853467,-81.04548000,0.01,-0.00,0.01
180,2330:340449.681,262.06,29.18853467,-81.04548000,0.00,-0.01,0.01
181,2330:340449.824,262.06,29.18853467,-81.04548000,0.01,-0.01,0.00
182,2330:340449.967,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
183,2330:340450.110,262.06,29.18853467,-81.04548000,0.01,-0.00,0.01
184,2330:340450.253,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
185,2330:340450.396,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
186,2330:340450.539,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.00
187,2330:340450.682,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
188,2330:340450.825,262.06,29.18853467,-81.04548000,0.01,0.01,0.00
189,2330:340450.968,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
190,2330:340451.111,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
191,2330:340451.254,262.06,29.18853467,-81.04548000,0.00,0.00,0.01
192,2330:340451.397,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.00
193,2330:340451.540,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
194,2330:340451.683,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
195,2330:340451.826,262.06,29.18853467,-81.04548000,0.01,0.00,-0.00
196,2330:340451.969,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
197,2330:340452.112,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
198,2330:340452.255,262.06,29.18853467,-81.04548000,-0.01,0.00,-0.00
199,2330:340452.398,262.06,29.18853467,-81.04548000,0.01,-0.01,0.01
200,2330:340452.541,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
201,2330:340452.684,262.06,29.18853467,-81.04548000,0.00,0.01,-0.01
